,date,content
0,2020-03-01 22:37:29+00:00,summer 2020 would be lit for all of us but the coronavirus rlly gotta ruin it🤡
1,2020-03-01 22:09:32+00:00,Left church and sneezed three times. The devil or Coronavirus?
,date,content
0,2020-03-01 22:37:29+00:00,summer 2020 would be lit for all of us but the coronavirus rlly gotta ruin it🤡
1,2020-03-01 22:09:32+00:00,Left church and sneezed three times. The devil or Coronavirus?
2,2020-03-02 23:12:36+00:00,"@atrupar Listening to @realDonaldTrump makes him look more ignorant every minute. 

He has no idea what he’s talking about and having him as president when the #coronavirus is spreading is frightening.

He actually thinks he knows what he is talking about"
,date,content
0,2020-03-01 22:37:29+00:00,summer 2020 would be lit for all of us but the coronavirus rlly gotta ruin it🤡
1,2020-03-01 22:09:32+00:00,Left church and sneezed three times. The devil or Coronavirus?
2,2020-03-02 23:12:36+00:00,"@atrupar Listening to @realDonaldTrump makes him look more ignorant every minute. 

He has no idea what he’s talking about and having him as president when the #coronavirus is spreading is frightening.

He actually thinks he knows what he is talking about"
3,2020-03-03 23:53:00+00:00,coronavirus has taught me that i am simply unable to keep my fingers from going directly into my eyes 4-5 times an hour
4,2020-03-03 23:43:03+00:00,i bet this coronavirus shit is gonna start a lot of public fights lmfao tensions are high on the train
,date,content
0,2020-03-01 22:37:29+00:00,summer 2020 would be lit for all of us but the coronavirus rlly gotta ruin it🤡
1,2020-03-01 22:09:32+00:00,Left church and sneezed three times. The devil or Coronavirus?
2,2020-03-02 23:12:36+00:00,"@atrupar Listening to @realDonaldTrump makes him look more ignorant every minute. 

He has no idea what he’s talking about and having him as president when the #coronavirus is spreading is frightening.

He actually thinks he knows what he is talking about"
3,2020-03-03 23:53:00+00:00,coronavirus has taught me that i am simply unable to keep my fingers from going directly into my eyes 4-5 times an hour
4,2020-03-03 23:43:03+00:00,i bet this coronavirus shit is gonna start a lot of public fights lmfao tensions are high on the train
5,2020-03-04 22:43:26+00:00,sure hope the yt men out here who collect asian girlfriends like funko pops will speak out on the anti-asian racism that spiked in 2016 and has only gotten worse since the covid-19 histrionics
,date,content
0,2020-03-01 22:37:29+00:00,summer 2020 would be lit for all of us but the coronavirus rlly gotta ruin it🤡
1,2020-03-01 22:09:32+00:00,Left church and sneezed three times. The devil or Coronavirus?
