Date,Country/Region,Province/State,Confirmed,Recovered,Deaths
2020-01-22,Indonesia,,0,0,0
2020-01-23,Indonesia,,0,0,0
2020-01-24,Indonesia,,0,0,0
2020-01-25,Indonesia,,0,0,0
2020-01-26,Indonesia,,0,0,0
2020-01-27,Indonesia,,0,0,0
2020-01-28,Indonesia,,0,0,0
2020-01-29,Indonesia,,0,0,0
2020-01-30,Indonesia,,0,0,0
2020-01-31,Indonesia,,0,0,0
2020-02-01,Indonesia,,0,0,0
2020-02-02,Indonesia,,0,0,0
2020-02-03,Indonesia,,0,0,0
2020-02-04,Indonesia,,0,0,0
2020-02-05,Indonesia,,0,0,0
2020-02-06,Indonesia,,0,0,0
2020-02-07,Indonesia,,0,0,0
2020-02-08,Indonesia,,0,0,0
2020-02-09,Indonesia,,0,0,0
2020-02-10,Indonesia,,0,0,0
2020-02-11,Indonesia,,0,0,0
2020-02-12,Indonesia,,0,0,0
2020-02-13,Indonesia,,0,0,0
2020-02-14,Indonesia,,0,0,0
2020-02-15,Indonesia,,0,0,0
2020-02-16,Indonesia,,0,0,0
2020-02-17,Indonesia,,0,0,0
2020-02-18,Indonesia,,0,0,0
2020-02-19,Indonesia,,0,0,0
2020-02-20,Indonesia,,0,0,0
2020-02-21,Indonesia,,0,0,0
2020-02-22,Indonesia,,0,0,0
2020-02-23,Indonesia,,0,0,0
2020-02-24,Indonesia,,0,0,0
2020-02-25,Indonesia,,0,0,0
2020-02-26,Indonesia,,0,0,0
2020-02-27,Indonesia,,0,0,0
2020-02-28,Indonesia,,0,0,0
2020-02-29,Indonesia,,0,0,0
2020-03-01,Indonesia,,0,0,0
2020-03-02,Indonesia,,2,0,0
2020-03-03,Indonesia,,2,0,0
2020-03-04,Indonesia,,2,0,0
2020-03-05,Indonesia,,2,0,0
2020-03-06,Indonesia,,4,0,0
2020-03-07,Indonesia,,4,0,0
2020-03-08,Indonesia,,6,0,0
2020-03-09,Indonesia,,19,0,0
2020-03-10,Indonesia,,27,2,0
2020-03-11,Indonesia,,34,2,1
2020-03-12,Indonesia,,34,2,1
2020-03-13,Indonesia,,69,2,4
2020-03-14,Indonesia,,96,8,5
2020-03-15,Indonesia,,117,8,5
2020-03-16,Indonesia,,134,8,5
2020-03-17,Indonesia,,172,8,5
2020-03-18,Indonesia,,227,11,19
2020-03-19,Indonesia,,311,11,25
2020-03-20,Indonesia,,369,15,32
2020-03-21,Indonesia,,450,15,38
2020-03-22,Indonesia,,514,29,48
2020-03-23,Indonesia,,579,29,49
2020-03-24,Indonesia,,686,30,55
2020-03-25,Indonesia,,790,31,58
2020-03-26,Indonesia,,893,35,78
2020-03-27,Indonesia,,1046,46,87
2020-03-28,Indonesia,,1155,59,102
2020-03-29,Indonesia,,1285,64,114
2020-03-30,Indonesia,,1414,75,122
2020-03-31,Indonesia,,1528,81,136
2020-04-01,Indonesia,,1677,103,157
2020-04-02,Indonesia,,1790,112,170
2020-04-03,Indonesia,,1986,134,181
2020-04-04,Indonesia,,2092,150,191
2020-04-05,Indonesia,,2273,164,198
2020-04-06,Indonesia,,2491,192,209
2020-04-07,Indonesia,,2738,204,221
2020-04-08,Indonesia,,2956,222,240
2020-04-09,Indonesia,,3293,252,280
2020-04-10,Indonesia,,3512,282,306
2020-04-11,Indonesia,,3842,286,327
2020-04-12,Indonesia,,4241,359,373
2020-04-13,Indonesia,,4557,380,399
2020-04-14,Indonesia,,4839,426,459
2020-04-15,Indonesia,,5136,446,469
2020-04-16,Indonesia,,5516,548,496
2020-04-17,Indonesia,,5923,607,520
2020-04-18,Indonesia,,6248,631,535
2020-04-19,Indonesia,,6575,686,582
2020-04-20,Indonesia,,6760,747,590
2020-04-21,Indonesia,,7135,842,616
2020-04-22,Indonesia,,7418,913,635
2020-04-23,Indonesia,,7775,960,647
2020-04-24,Indonesia,,8211,1002,689
2020-04-25,Indonesia,,8607,1042,720
2020-04-26,Indonesia,,8882,1107,743
2020-04-27,Indonesia,,9096,1151,765
2020-04-28,Indonesia,,9511,1254,773
2020-04-29,Indonesia,,9771,1391,784
2020-04-30,Indonesia,,10118,1522,792
2020-05-01,Indonesia,,10551,1591,800
