Date,Country/Region,Province/State,Confirmed,Recovered,Deaths
2020-03-01,ShangHai,,1,0,0
2020-03-02,ShangHai,,4,0,0
2020-03-03,ShangHai,,6,0,0
2020-03-04,ShangHai,,9,0,0
2020-03-05,ShangHai,,9,0,0
2020-03-06,ShangHai,,12,0,0
2020-03-07,ShangHai,,16,0,0
2020-03-08,ShangHai,,19,0,0
2020-03-09,ShangHai,,23,0,0
2020-03-10,ShangHai,,34,0,0
2020-03-11,ShangHai,,39,0,0
2020-03-12,ShangHai,,40,0,0
2020-03-13,ShangHai,,81,0,0
2020-03-14,ShangHai,,90,0,0
2020-03-15,ShangHai,,95,0,0
2020-03-16,ShangHai,,103,1,0
2020-03-17,ShangHai,,160,1,0
2020-03-18,ShangHai,,168,1,0
2020-03-19,ShangHai,,185,1,0
2020-03-20,ShangHai,,209,1,0
2020-03-21,ShangHai,,240,1,0
2020-03-22,ShangHai,,244,1,0
2020-03-23,ShangHai,,248,1,1
2020-03-24,ShangHai,,277,1,1
2020-03-25,ShangHai,,315,2,1
2020-03-26,ShangHai,,360,2,2
2020-03-27,ShangHai,,410,2,2
2020-03-28,ShangHai,,506,2,2
2020-03-29,ShangHai,,832,2,4
2020-03-30,ShangHai,,1187,2,4
2020-03-31,ShangHai,,1545,5,4
2020-04-01,ShangHai,,1805,5,4
2020-04-02,ShangHai,,2243,10,4
2020-04-03,ShangHai,,2668,10,5
2020-04-04,ShangHai,,2936,10,5
2020-04-05,ShangHai,,3247,15,7
2020-04-06,ShangHai,,3569,18,7
2020-04-07,ShangHai,,4393,18,11
2020-04-08,ShangHai,,5408,29,14
2020-04-09,ShangHai,,6414,32,15
2020-04-10,ShangHai,,7328,32,15
2020-04-11,ShangHai,,8322,32,15
2020-04-12,ShangHai,,9511,32,18
2020-04-13,ShangHai,,12084,32,19
2020-04-14,ShangHai,,15284,7936,7
2020-04-15,ShangHai,,18874,8911,7
2020-04-16,ShangHai,,22112,9288,7
2020-04-17,ShangHai,,24529,10021,10
2020-04-18,ShangHai,,32582,11238,17
2020-04-19,ShangHai,,35077,12923,24
2020-04-20,ShangHai,,37712,14100,32
2020-04-21,ShangHai,,39643,15836,43
2020-04-22,ShangHai,,42379,17715,55
2020-04-23,ShangHai,,43780,19958,94
2020-04-24,ShangHai,,46252,22409,145
2020-04-25,ShangHai,,47913,24352,197
2020-04-26,ShangHai,,49519,26992,245
2020-04-27,ShangHai,,50811,29302,292
2020-04-28,ShangHai,,56300,31782,344
2020-04-29,ShangHai,,57550,34593,391
2020-04-30,ShangHai,,58339,37649,429
2020-05-01,ShangHai,,59068,41891,461
2020-05-02,ShangHai,,59342,45873,481
2020-05-03,ShangHai,,59605,47742,497
2020-05-04,ShangHai,,59868,49481,510
2020-05-05,ShangHai,,60113,50871,522
2020-05-06,ShangHai,,60336,52535,535
2020-05-07,ShangHai,,60583,53426,543
2020-05-08,ShangHai,,60907,54121,554
2020-05-09,ShangHai,,61141,54968,560
2020-05-10,ShangHai,,61370,55575,567
2020-05-11,ShangHai,,61514,56008,572
2020-05-12,ShangHai,,61741,56424,574
2020-05-13,ShangHai,,61936,57146,575
2020-05-14,ShangHai,,62104,57439,578
2020-05-15,ShangHai,,62174,57491,582
2020-05-16,ShangHai,,62251,57812,583
2020-05-17,ShangHai,,62348,58087,586
2020-05-18,ShangHai,,62431,58354,587
2020-05-19,ShangHai,,62521,58539,587
2020-05-20,ShangHai,,62605,58798,588
2020-05-21,ShangHai,,62658,59142,591
2020-05-22,ShangHai,,62714,59379,592
2020-05-23,ShangHai,,62772,59759,593
2020-05-24,ShangHai,,62816,60027,593
2020-05-25,ShangHai,,62865,60371,594
2020-05-26,ShangHai,,62911,60499,595
2020-05-27,ShangHai,,62950,60661,595
2020-05-28,ShangHai,,62982,60775,595
2020-05-29,ShangHai,,62988,60897,595
2020-05-30,ShangHai,,63001,61086,595
2020-05-31,ShangHai,,63007,61187,595
2020-06-01,ShangHai,,63016,61317,595
2020-06-02,ShangHai,,63026,61398,595
2020-06-03,ShangHai,,63033,61580,595
2020-06-04,ShangHai,,63040,61738,595
2020-06-05,ShangHai,,63044,61912,595
2020-06-06,ShangHai,,63050,61971,595
2020-06-07,ShangHai,,63062,62042,595
2020-06-08,ShangHai,,63066,62122,595
2020-06-09,ShangHai,,63074,62226,595
